DDRUR, 4.1e-05s
ULLUULDD, 5e-05s
DDLUULLURR, 4.3e-05s
DLDRRURRRUUURR, 0.000414s
LUUURULLURDDRDR, 0.001191s
LLUURRRUURDDDDLUURDD, 0.002154s
DRDLLULULUUURDRURDRDRRR, 0.004964s
URRRRDLLLLDRRRRDLLLLDRRRR, 0.000605s
DLLLDRUUUULDRRRRULDDDRDLURD, 0.02293s
RDRDLUUUURRUUURDRUUULDLDDDRR, 0.326611s
DDRRUUUULLULLUULLLLLUURRDDDDRR, 0.01882s
DRUURDRRDRUULDLULDLDRDLDRURDRURD, 1.41348s
