DDRUR, 4.6e-05s
ULLUULDD, 6.2e-05s
DDLUULLURR, 5.1e-05s
DLDRRURRRUUURR, 0.000252s
LUUURULLURDDRDR, 0.000156s
LLUURRRUURDDDDLUURDD, 0.000131s
DRDLLULULUUURDRURDRDRRR, 0.000936s
URRRRDLLLLDRRRRDLLLLDRRRR, 0.000299s
DDRULLLLDRUUUULDRRRRULDDDDR, 0.000462s
RDRDLUUUURRUUURDRUUULDLDDDRR, 0.006864s
DDRRUUUULLULLUULLLLLUURRDDDDRR, 0.000256s
DRUURDRRDRUULDLULDLDRDLDRURDRURD, 0.013159s
